Date,Items,Type,Total,Wallet,
,,,,Change,Balance
"28 Aug, 2024",Risk of Rain 2,Purchase,$4.12 USD,,
,,Visa **08,,,
"16 Jul, 2024",Chained Together,Purchase,$2.99 USD,,
,,Visa **08,,,
"8 Jul, 2024",Castle Crashers,Purchase,$0.79 USD,,
,,Visa **08,,,
"1 Jul, 2024",PlateUp!,Purchase,$3.56 USD,,
,,Visa **08,,,
"16 Jun, 2024",Supermarket Simulator,Refund,$3.99 USD,,
,Refund,Visa **08,,,
"15 Jun, 2024",Supermarket Simulator,Purchase,$3.99 USD,,
,,Visa **08,,,
"11 Apr, 2024",Content Warning,Purchase,$4.49 USD,,
,,Visa **08,,,
"19 Jan, 2024",Lethal Company,Purchase,$5.79 USD,-$0.56 USD,$0.00 USD
,,$0.56 USD Wallet,,,
,,$5.23 USD Visa,,,
"21 Nov, 2023",Currency Conversion to USD (Turkey),Conversion,,,$0.56 USD
,,Wallet,,,
"28 Sep, 2023",Steam Community Market,Market Transaction,"16,17 TL","+16,17 TL","16,17 TL"
,,Wallet,Credit,,
"2 Sep, 2023",The Wandering Village,Purchase,"30,00 TL",,
,,"0,90 TL Wallet",,,
,,"29,10 TL Visa",,,
"25 Aug, 2023",ROUNDS,Purchase,"5,75 TL","-5,75 TL","0,90 TL"
,,Wallet,,,
"25 Aug, 2023",Steam Community Market,Market Transaction,"1,31 TL","+1,31 TL","6,65 TL"
,,Wallet,Credit,,
"24 Aug, 2023",Destiny 2,In-Game Purchase,"99,99 TL","-99,99 TL","5,34 TL"
,2300 Destiny 2 Silver,Wallet,,,
"28 Jul, 2023",Valheim,Refund,"100,00 TL","+100,00 TL","105,33 TL"
,Refund,Wallet Credit,,,
"27 Jul, 2023",Valheim,Purchase,"100,00 TL","-100,00 TL","5,33 TL"
,,Wallet,,,
"19 Jul, 2023",Don't Starve Together,Refund,"8,16 TL","+8,16 TL","105,33 TL"
,Picture,Wallet Credit,,,
,Gift sent to Caaker_14,,,,
,Refund,,,,
"25 Jun, 2023",Steam Community Market,2 Market Transactions,"8,77 TL","+8,77 TL","97,17 TL"
,,Wallet,Credit,,
"22 Jun, 2023",Steam Community Market,2 Market Transactions,"53,17 TL","+53,17 TL","88,40 TL"
,,Wallet,Credit,,
"18 Jun, 2023",Don't Starve Together,Gift Purchase,"8,16 TL","-8,16 TL","35,23 TL"
,Picture,Wallet,,,
,Gift sent to Caaker_14,,,,
"13 Jun, 2023",Steam Community Market,Market Transaction,"37,40 TL","+37,40 TL","43,39 TL"
,,Wallet,Credit,,
"25 May, 2023",Destiny 2,In-Game Purchase,"74,99 TL","-74,99 TL","5,99 TL"
,1700 Destiny 2 Silver,Wallet,,,
"20 May, 2023",A Way Out,Purchase,"39,80 TL","-39,80 TL","80,98 TL"
,,Wallet,,,
"31 Mar, 2023",Destiny 2,In-Game Purchase,"149,99 TL","-149,99 TL","120,78 TL"
,3500 Destiny 2 Silver,Wallet,,,
"29 Mar, 2023",Counter-Strike 2,In-Game Purchase,"45,50 TL","-45,50 TL","270,77 TL"
,Prisma 2 Case Key,Wallet,,,
"29 Mar, 2023",Steam Community Market,2 Market Transactions,"12,95 TL","-12,95 TL","316,27 TL"
,,Wallet,,,
"29 Mar, 2023",Steam Community Market,Market Transaction,"47,57 TL","+47,57 TL","329,22 TL"
,,Wallet,Credit,,
"27 Feb, 2023",Destiny 2: Bungie 30th Anniversary Pack,Purchase,"38,00 TL","-38,00 TL","281,65 TL"
,,Wallet,,,
"27 Feb, 2023",Destiny 2: Shadowkeep Pack,Purchase,"31,35 TL","-31,35 TL","319,65 TL"
,,Wallet,,,
"26 Feb, 2023",Destiny 2: Lightfall,Purchase,"449,00 TL","-449,00 TL","351,00 TL"
,,Wallet,,,
"26 Feb, 2023","Purchased 800,00 TL Wallet Credit",Purchase,"800,00 TL","+800,00 TL","800,00 TL"
,,MasterCard **14,,,
"24 Jan, 2023",Pummel Party,Purchase,"25,00 TL",,
,,Visa **47,,,
"18 Jan, 2023",Destiny 2,In-Game Purchase,"49,99 TL","-49,99 TL","0,00 TL"
,1100 Destiny 2 Silver,Wallet,,,
"18 Jan, 2023","Purchased 49,99 TL Wallet Credit",Purchase,"49,99 TL","+49,99 TL","49,99 TL"
,,Visa **47,,,
"9 Aug, 2022",Project Winter,Purchase,"38,67 TL",,
,Project Winter - Blackout,Visa **17,,,
"31 Jul, 2022",Hades,Purchase,"24,00 TL",,
,,Visa **17,,,
"17 Jul, 2022",Europa Universalis IV - Expansion Subscription: 3 Months (Initial),In-Game Purchase,"29,40 TL",,
,Europa Universalis IV,Visa **17,,,
,Europa Universalis IV Expansion Subscription: 3 Months,,,,
"1 Jul, 2022",Feign,Purchase,"11,70 TL",,
,,Visa **17,,,
"26 Jun, 2022",Destiny 2: The Witch Queen,Purchase,"143,90 TL","-3,20 TL","0,00 TL"
,Destiny 2: Beyond Light Pack,"3,20 TL Wallet",,,
,,"140,70 TL Visa",,,
"21 Jun, 2022",Deep Rock Galactic,Purchase,"16,50 TL",,
,,Visa **17,,,
"18 May, 2021",Brawlhalla,In-Game Purchase,"10,80 TL","-10,80 TL","3,20 TL"
,140 Mammoth Coins,Wallet,,,
"18 May, 2021",Brawlhalla,In-Game Purchase,"36,00 TL","-36,00 TL","14,00 TL"
,540 Mammoth Coins,Wallet,,,
"18 May, 2021","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","50,00 TL"
,,Visa **17,,,
"3 Jan, 2021",Europa Universalis IV: Golden Century,Purchase,"53,75 TL","-7,70 TL","0,00 TL"
,Europa Universalis IV: Conquest of Paradise,"7,70 TL Wallet",,,
,Europa Universalis IV: Mare Nostrum,"46,05 TL Visa",,,
,Europa Universalis IV: Res Publica,,,,
,Europa Universalis IV: The Cossacks,,,,
"27 Dec, 2020",Europa Universalis IV: Wealth of Nations,Purchase,"25,00 TL","-25,00 TL","7,70 TL"
,Europa Universalis IV: Emperor,Wallet,,,
"23 Dec, 2020",Europa Universalis IV: Art of War,Purchase,"38,70 TL","-38,70 TL","32,70 TL"
,Europa Universalis IV: Common Sense,Wallet,,,
,Europa Universalis IV: Rights of Man,,,,
"1 Dec, 2020",Total War: WARHAMMER II,Refund,"71,40 TL","+71,40 TL","71,40 TL"
,Refund,"69,43 TL Wallet",,,
,,"1,97 TL Visa",,,
"30 Nov, 2020",Total War: WARHAMMER II,Purchase,"71,40 TL","-69,43 TL","0,00 TL"
,,"69,43 TL Wallet",,,
,,"1,97 TL Visa",,,
"27 Nov, 2020",F1 2020,Refund,"46,00 TL","+46,00 TL","69,43 TL"
,Refund,Wallet Credit,,,
"27 Nov, 2020",Europa Universalis IV Extreme Edition,Purchase,"16,25 TL","-16,25 TL","23,43 TL"
,,Wallet,,,
"27 Nov, 2020",F1 2020,Purchase,"46,00 TL",,
,,Visa **17,,,
"26 Nov, 2020",NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,Refund,"39,68 TL","+39,68 TL","39,68 TL"
,Refund,Wallet Credit,,,
"26 Nov, 2020",Hearts of Iron IV (OLD - DO NOT USE),Purchase,"14,75 TL",,
,,Visa **17,,,
"26 Nov, 2020",NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,Purchase,"39,68 TL",,
,,Visa **17,,,
"21 Sep, 2020",Among Us,Purchase,"10,50 TL",,
,,Visa **17,,,
"4 Aug, 2020",Fall Guys,Purchase,"38,00 TL",,
,,Visa **17,,,
"8 Jul, 2020",Rust,Refund,"30,50 TL",,
,Refund,Visa **17,,,
"7 Jul, 2020",Rust,Purchase,"30,50 TL",,
,,Visa **17,,,
"4 Jul, 2020",60 Parsecs!,Purchase,"15,41 TL","-4,51 TL","0,00 TL"
,60 Seconds! Reatomized,"4,51 TL Wallet",,,
,,"10,90 TL Visa",,,
"23 Jun, 2020",Steam Community Market,Market Transaction,"2,12 TL","+2,12 TL","4,51 TL"
,,Wallet,Credit,,
"13 Jun, 2020",Steam Community Market,Market Transaction,"0,37 TL","+0,37 TL","2,39 TL"
,,Wallet,Credit,,
"9 Jun, 2020",Steam Community Market,8 Market Transactions,"1,96 TL","+1,96 TL","2,02 TL"
,,Wallet,Credit,,
"9 Jun, 2020",Brawlhalla,In-Game Purchase,"23,40 TL","-23,40 TL","0,06 TL"
,340 Mammoth Coins,Wallet,,,
"9 Jun, 2020",Steam Community Market,41 Market Transactions,"19,51 TL","+19,51 TL","23,46 TL"
,,Wallet,Credit,,
"9 Jun, 2020",Brawlhalla,In-Game Purchase,"10,80 TL","-10,80 TL","3,95 TL"
,140 Mammoth Coins,Wallet,,,
"5 Jun, 2020",Hearts of Iron IV (OLD - DO NOT USE),Refund,"14,75 TL","+14,75 TL","14,75 TL"
,Refund,Wallet Credit,,,
"5 Jun, 2020",Hearts of Iron IV (OLD - DO NOT USE),Purchase,"14,75 TL",,
,,Visa **17,,,
"7 May, 2020",Brawlhalla,In-Game Purchase,"10,80 TL","-10,80 TL","0,00 TL"
,140 Mammoth Coins,Wallet,,,
"7 May, 2020","Purchased 10,80 TL Wallet Credit",Purchase,"10,80 TL","+10,80 TL","10,80 TL"
,,Visa **17,,,
"7 May, 2020",Brawlhalla,In-Game Purchase,"10,80 TL","-10,80 TL","0,00 TL"
,140 Mammoth Coins,Wallet,,,
"7 May, 2020","Purchased 10,80 TL Wallet Credit",Purchase,"10,80 TL","+10,80 TL","10,80 TL"
,,Visa **17,,,
"2 Apr, 2020",Subnautica,Purchase,"40,00 TL",,
,,Visa **17,,,
"23 Mar, 2020",Duck Game,Purchase,"4,20 TL",,
,,Visa **17,,,
"13 Mar, 2020",Destiny 2,In-Game Purchase,"49,99 TL","-49,99 TL","0,00 TL"
,1100 Destiny 2 Silver,Wallet,,,
"13 Mar, 2020","Purchased 49,99 TL Wallet Credit",Purchase,"49,99 TL","+49,99 TL","49,99 TL"
,,Visa **17,,,
"13 Mar, 2020",Destiny 2: Forsaken Pack,Purchase,"76,38 TL",,
,,Visa **17,,,
"5 Jul, 2019",NBA 2K19,In-Game Purchase,"148,99 TL","-148,99 TL","0,00 TL"
,"200,000 VC",Wallet,,,
"5 Jul, 2019","Purchased 148,99 TL Wallet Credit",Purchase,"148,99 TL","+148,99 TL","148,99 TL"
,,Visa **17,,,
"1 Jul, 2019",Esports Life Tycoon,Purchase,"20,00 TL","-20,00 TL","0,00 TL"
,,Wallet,,,
"1 Jul, 2019","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,00 TL"
,,Visa **17,,,
"25 Jun, 2019",Dead by Daylight - Demise of the Faithful,Purchase,"8,10 TL",,
,,Visa **17,,,
"21 Jun, 2019",Dead by Daylight,Purchase,"15,50 TL",,
,,Visa **17,,,
"16 Jun, 2019",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"25,99 TL","-25,99 TL","0,00 TL"
,1 x 600 Rainbow Credits,Wallet,,,
"16 Jun, 2019","Purchased 25,99 TL Wallet Credit",Purchase,"25,99 TL","+25,99 TL","25,99 TL"
,,Visa **17,,,
"20 Jan, 2019",Slime Rancher,Purchase,"31,00 TL","-3,02 TL","0,00 TL"
,,"3,02 TL Wallet",,,
,,"27,98 TL Visa",,,
"4 Jan, 2019",NBA 2K19,In-Game Purchase,"14,99 TL","-14,99 TL","3,02 TL"
,"15,000 VC",Wallet,,,
"4 Jan, 2019",NBA 2K19,In-Game Purchase,"30,00 TL","-30,00 TL","18,01 TL"
,"35,000 VC",Wallet,,,
"4 Jan, 2019",Tom Clancy's Ghost Recon® Wildlands,In-Game Purchase,"51,99 TL","-51,99 TL","48,01 TL"
,Tom Clancy's Ghost Recon Wildlands : Small Credits Pack,Wallet,,,
"3 Jan, 2019","Purchased 100,00 TL Wallet Credit",Purchase,"100,00 TL","+100,00 TL","100,00 TL"
,,Retail,,,
"22 Dec, 2018",Survivor Pass: Vikendi,Purchase,"44,99 TL",,
,,Visa **17,,,
"13 Dec, 2018",Tom Clancy's Ghost Recon Wildlands,Purchase,"61,25 TL",,
,,Visa **17,,,
"3 Dec, 2018",PLAYERUNKNOWN'S BATTLEGROUNDS - Worldwide Package,Gift Purchase,"87,00 TL","-0,38 TL","0,00 TL"
,Picture,"0,38 TL Wallet",,,
,Gift sent to Fishtart,"86,62 TL Visa",,,
"22 Nov, 2018",For Honor - Season Pass,Purchase,"212,01 TL","-212,01 TL","0,38 TL"
,For Honor : Marching Fire Expansion,Wallet,,,
,For Honor - Starter Edition,,,,
"22 Nov, 2018","Purchased 200,00 TL Wallet Credit",Purchase,"200,00 TL","+200,00 TL","212,39 TL"
,,Visa **17,,,
"10 Nov, 2018",Steam Community Market,Market Transaction,"0,30 TL","+0,30 TL","12,39 TL"
,,Wallet,Credit,,
"7 Nov, 2018",Steam Community Market,9 Market Transactions,"7,07 TL","+7,07 TL","12,09 TL"
,,Wallet,Credit,,
"7 Sep, 2018",NBA 2K19,In-Game Purchase,"14,99 TL","-14,99 TL","5,02 TL"
,"15,000 VC",Wallet,,,
"7 Sep, 2018",NBA 2K19,In-Game Purchase,"30,00 TL","-30,00 TL","20,01 TL"
,"35,000 VC",Wallet,,,
"7 Sep, 2018",NBA 2K19,In-Game Purchase,"59,99 TL","-59,99 TL","50,01 TL"
,"75,000 VC",Wallet,,,
"6 Sep, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","110,00 TL"
,,Visa **17,,,
"25 Aug, 2018","Purchased 100,00 TL Wallet Credit",Purchase,"100,00 TL","+100,00 TL","100,00 TL"
,,Visa **17,,,
"25 Aug, 2018",NBA 2K19 20th Anniversary Edition,Purchase,"340,00 TL","-0,85 TL","0,00 TL"
,,"0,85 TL Wallet",,,
,,"339,15 TL Visa",,,
"23 Jul, 2018",Business Tour - Board Game with Online Multiplayer,In-Game Purchase,$1.99 USD,"-9,52 TL","0,85 TL"
,Wallet of gold,Wallet,,,
"23 Jul, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,37 TL"
,,Visa **17,,,
"20 Jul, 2018",Business Tour - Board Game with Online Multiplayer,In-Game Purchase,$1.99 USD,"-9,63 TL","0,37 TL"
,Wallet of gold,Wallet,,,
"20 Jul, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,00 TL"
,,Visa **17,,,
"19 Jul, 2018",Business tour. Great Leaders: Caesar,Purchase,"13,50 TL","-10,20 TL","0,00 TL"
,,"10,20 TL Wallet",,,
,,"3,30 TL Visa",,,
"18 Jul, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,20 TL"
,,Visa **17,,,
"18 Jul, 2018",Business Tour - Board Game with Online Multiplayer,In-Game Purchase,$3.99 USD,"-19,30 TL","0,20 TL"
,Piggybank of gold,Wallet,,,
"30 Jun, 2018",Planet Nomads,Refund,"15,50 TL","+15,50 TL","19,50 TL"
,Refund,Wallet Credit,,,
"30 Jun, 2018",Planet Nomads,Purchase,"15,50 TL","-15,50 TL","4,00 TL"
,,Wallet,,,
"29 Jun, 2018",Osiris: New Dawn,Refund,"19,50 TL","+19,50 TL","19,50 TL"
,Refund,"17,60 TL Wallet",,,
,,"1,90 TL Visa",,,
"29 Jun, 2018",Osiris: New Dawn,Purchase,"19,50 TL","-17,60 TL","0,00 TL"
,,"17,60 TL Wallet",,,
,,"1,90 TL Visa",,,
"25 Jun, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"11,77 TL","-11,77 TL","17,60 TL"
,AVIATOR KEY,Wallet,,,
"23 Jun, 2018",Event Pass: Sanhok,Purchase,"44,99 TL","-30,00 TL","29,37 TL"
,,"30,00 TL Wallet",,,
,,"14,99 TL Visa",,,
"23 Jun, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","59,37 TL"
,,Visa **17,,,
"23 Jun, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","49,37 TL"
,,Visa **17,,,
"23 Jun, 2018",ARK: Survival Evolved,Refund,"29,37 TL","+29,37 TL","29,37 TL"
,Refund,Wallet Credit,,,
"19 Jun, 2018",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"34,99 TL","-34,99 TL","0,00 TL"
,1200 Rainbow Credits,Wallet,,,
"19 Jun, 2018","Purchased 30,00 TL Wallet Credit",Purchase,"30,00 TL","+30,00 TL","34,99 TL"
,,Visa **17,,,
"15 Jun, 2018",Steam Community Market,Market Transaction,"4,36 TL","+4,36 TL","4,99 TL"
,,Wallet,Credit,,
"13 Jun, 2018",ARK: Survival Evolved,Purchase,"29,37 TL","-29,37 TL","0,63 TL"
,,Wallet,,,
"13 Jun, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,00 TL"
,,Visa **17,,,
"13 Jun, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,00 TL"
,,Visa **17,,,
"28 May, 2018",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"17,49 TL","-17,49 TL","0,00 TL"
,600 Rainbow Credits,Wallet,,,
"28 May, 2018","Purchased 17,49 TL Wallet Credit",Purchase,"17,49 TL","+17,49 TL","17,49 TL"
,,Visa **17,,,
"27 May, 2018",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"17,49 TL","-17,49 TL","0,00 TL"
,600 Rainbow Credits,Wallet,,,
"27 May, 2018","Purchased 16,49 TL Wallet Credit",Purchase,"16,49 TL","+16,49 TL","17,49 TL"
,,Visa **17,,,
"4 May, 2018",NBA 2K18,In-Game Purchase,"110,00 TL","-110,00 TL","1,00 TL"
,"200,000 VC",Wallet,,,
"4 May, 2018","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","111,00 TL"
,,Visa **17,,,
"4 May, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","61,00 TL"
,,Visa **17,,,
"4 May, 2018","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","51,00 TL"
,,Retail,,,
"1 May, 2018",NBA 2K18,In-Game Purchase,"49,00 TL","-49,00 TL","1,00 TL"
,"75,000 VC",Wallet,,,
"1 May, 2018","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","50,00 TL"
,,Visa **17,,,
"27 Apr, 2018",NBA 2K18,In-Game Purchase,"49,00 TL","-49,00 TL","0,00 TL"
,"75,000 VC",Wallet,,,
"27 Apr, 2018","Purchased 33,67 TL Wallet Credit",Purchase,"33,67 TL","+33,67 TL","49,00 TL"
,,Visa **17,,,
"13 Apr, 2018",NBA 2K18,In-Game Purchase,"25,00 TL","-25,00 TL","15,33 TL"
,"35,000 VC",Wallet,,,
"13 Apr, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","40,33 TL"
,,Visa **17,,,
"13 Apr, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,33 TL"
,,Visa **17,,,
"8 Apr, 2018",Steam Community Market,Market Transaction,"14,31 TL","-14,31 TL","0,33 TL"
,,Wallet,,,
"8 Apr, 2018",Steam Community Market,Market Transaction,"14,42 TL","+14,42 TL","14,64 TL"
,,Wallet,Credit,,
"3 Apr, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,92 TL","-9,92 TL","0,22 TL"
,WEAPON SKIN KEY,Wallet,,,
"3 Apr, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,92 TL","-9,92 TL","10,14 TL"
,WEAPON SKIN KEY,Wallet,,,
"3 Apr, 2018",Steam Community Market,Market Transaction,"15,78 TL","-15,78 TL","20,06 TL"
,,Wallet,,,
"2 Apr, 2018",Steam Community Market,5 Market Transactions,"35,27 TL","+35,27 TL","35,84 TL"
,,Wallet,Credit,,
"31 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,89 TL","-9,89 TL","0,57 TL"
,WEAPON SKIN KEY,Wallet,,,
"31 Mar, 2018",Steam Community Market,Market Transaction,"20,33 TL","-20,33 TL","10,46 TL"
,,Wallet,,,
"30 Mar, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","30,79 TL"
,,Visa **17,,,
"30 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,79 TL"
,,Visa **17,,,
"27 Mar, 2018",Steam Community Market,3 Market Transactions,"19,88 TL","-19,88 TL","0,79 TL"
,,Wallet,,,
"27 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","20,67 TL"
,,Visa **17,,,
"24 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,92 TL","-9,92 TL","10,67 TL"
,EARLY BIRD KEY,Wallet,,,
"24 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,92 TL","-9,92 TL","20,59 TL"
,EARLY BIRD KEY,Wallet,,,
"24 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,51 TL"
,,Visa **17,,,
"24 Mar, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,51 TL"
,,Visa **17,,,
"11 Mar, 2018",Steam Community Market,Market Transaction,"0,82 TL","-0,82 TL","0,51 TL"
,,Wallet,,,
"9 Mar, 2018",Steam Community Market,Market Transaction,"3,22 TL","-3,22 TL","1,33 TL"
,,Wallet,,,
"9 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,55 TL","-9,55 TL","4,55 TL"
,EARLY BIRD KEY,Wallet,,,
"9 Mar, 2018",Steam Community Market,Market Transaction,"1,06 TL","-1,06 TL","14,10 TL"
,,Wallet,,,
"9 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,55 TL","-9,55 TL","15,16 TL"
,EARLY BIRD KEY,Wallet,,,
"9 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,55 TL","-9,55 TL","24,71 TL"
,EARLY BIRD KEY,Wallet,,,
"9 Mar, 2018",PUBG: BATTLEGROUNDS,In-Game Purchase,"9,55 TL","-9,55 TL","34,26 TL"
,EARLY BIRD KEY,Wallet,,,
"9 Mar, 2018",Steam Community Market,3 Market Transactions,"3,21 TL","-3,21 TL","43,81 TL"
,,Wallet,,,
"8 Mar, 2018",SOS,Refund,"22,50 TL","+22,50 TL","47,02 TL"
,Refund,Wallet Credit,,,
"7 Mar, 2018",SOS,Purchase,"22,50 TL","-22,50 TL","24,52 TL"
,,Wallet,,,
"7 Mar, 2018",Steam Community Market,Market Transaction,"43,06 TL","+43,06 TL","47,02 TL"
,,Wallet,Credit,,
"7 Mar, 2018",Steam Community Market,Market Transaction,"1,40 TL","-1,40 TL","3,96 TL"
,,Wallet,,,
"5 Mar, 2018",Steam Community Market,Market Transaction,"37,85 TL","-37,85 TL","5,36 TL"
,,Wallet,,,
"5 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","43,21 TL"
,,Visa **17,,,
"4 Mar, 2018",Steam Community Market,Market Transaction,"57,01 TL","-57,01 TL","33,21 TL"
,,Wallet,,,
"4 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","90,22 TL"
,,Visa **17,,,
"4 Mar, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","80,22 TL"
,,Visa **17,,,
"4 Mar, 2018","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","60,22 TL"
,,Visa **17,,,
"3 Mar, 2018",Steam Community Market,Market Transaction,"51,00 TL","-51,00 TL","10,22 TL"
,,Wallet,,,
"2 Mar, 2018",Counter-Strike 2,In-Game Purchase,"9,50 TL","-9,50 TL","61,22 TL"
,eSports Key,Wallet,,,
"2 Mar, 2018",Steam Community Market,2 Market Transactions,"7,50 TL","-7,50 TL","70,72 TL"
,,Wallet,,,
"1 Mar, 2018",Steam Community Market,Market Transaction,"1,41 TL","+1,41 TL","78,22 TL"
,,Wallet,Credit,,
"1 Mar, 2018",Steam Community Market,Market Transaction,"13,36 TL","-13,36 TL","76,81 TL"
,,Wallet,,,
"1 Mar, 2018",Steam Community Market,Market Transaction,"68,81 TL","+68,81 TL","90,17 TL"
,,Wallet,Credit,,
"1 Mar, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","21,36 TL"
,,Visa **17,,,
"1 Mar, 2018",Steam Community Market,2 Market Transactions,"6,55 TL","+6,55 TL","11,36 TL"
,,Wallet,Credit,,
"25 Feb, 2018",Steam Community Market,Market Transaction,"1,88 TL","-1,88 TL","4,81 TL"
,,Wallet,,,
"25 Feb, 2018",Counter-Strike 2,In-Game Purchase,"9,50 TL","-9,50 TL","6,69 TL"
,Spectrum Case Key,Wallet,,,
"25 Feb, 2018",Steam Community Market,5 Market Transactions,"118,60 TL","-118,60 TL","16,19 TL"
,,Wallet,,,
"23 Feb, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","134,79 TL"
,,Visa **17,,,
"23 Feb, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","114,79 TL"
,,Visa **17,,,
"22 Feb, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","94,79 TL"
,,Visa **17,,,
"22 Feb, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","74,79 TL"
,,Visa **17,,,
"21 Feb, 2018",Steam Community Market,4 Market Transactions,"11,64 TL","+11,64 TL","54,79 TL"
,,Wallet,Credit,,
"15 Feb, 2018",Steam Community Market,13 Market Transactions,"31,28 TL","-31,28 TL","43,15 TL"
