Date,Items,Type,Total,Wallet,
"25 Apr, 2017",Steam Community Market,Market Transaction,"1,98 TL","-1,98 TL","1,99 TL"
,,Wallet,,,
"25 Apr, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","3,97 TL"
,Gamma Case Key,Wallet,,,
"25 Apr, 2017",Steam Community Market,Market Transaction,"13,31 TL","-13,31 TL","13,12 TL"
,,Wallet,,,
"25 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","26,43 TL"
,Bestiary Sticker Capsule,Wallet,,,
"25 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,08 TL"
,,Visa **17,,,
"25 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,08 TL"
,,Visa **17,,,
"22 Apr, 2017",Steam Community Market,2 Market Transactions,"0,25 TL","-0,25 TL","0,08 TL"
,,Wallet,,,
"20 Apr, 2017",Steam Community Market,Market Transaction,"1,44 TL","-1,44 TL","0,33 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,Market Transaction,"53,65 TL","-53,65 TL","1,77 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"2,86 TL","+2,86 TL","55,42 TL"
,,Wallet,Credit,,
"18 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","52,56 TL"
,,Visa **17,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"18,94 TL","+18,94 TL","32,56 TL"
,,Wallet,Credit,,
"18 Apr, 2017",Steam Community Market,Market Transaction,"27,29 TL","-27,29 TL","13,62 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"0,38 TL","+0,38 TL","40,91 TL"
,,Wallet,Credit,,
"18 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","40,53 TL"
,,Visa **17,,,
"18 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,53 TL"
,,Visa **17,,,
"18 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,53 TL"
,,Visa **17,,,
"17 Apr, 2017",Steam Community Market,Market Transaction,"0,46 TL","+0,46 TL","0,53 TL"
,,Wallet,Credit,,
"17 Apr, 2017",Steam Community Market,Market Transaction,"12,77 TL","-12,77 TL","0,07 TL"
,,Wallet,,,
"17 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","12,84 TL"
,,Visa **17,,,
"17 Apr, 2017",Steam Community Market,2 Market Transactions,"1,61 TL","+1,61 TL","2,84 TL"
,,Wallet,Credit,,
"17 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","1,23 TL"
,Sugarface Sticker Capsule,Wallet,,,
"17 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","4,88 TL"
,Bestiary Sticker Capsule,Wallet,,,
"16 Apr, 2017",Steam Community Market,8 Market Transactions,"8,03 TL","+8,03 TL","8,53 TL"
,,Wallet,Credit,,
"16 Apr, 2017",Steam Community Market,Market Transaction,"0,06 TL","-0,06 TL","0,50 TL"
,,Wallet,,,
"14 Apr, 2017",Steam Community Market,Market Transaction,"7,02 TL","-7,02 TL","0,56 TL"
,,Wallet,,,
"14 Apr, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","7,58 TL"
,Spectrum Case Key,Wallet,,,
"14 Apr, 2017",Steam Community Market,2 Market Transactions,"13,49 TL","-13,49 TL","16,73 TL"
,,Wallet,,,
"14 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,22 TL"
,,Visa **17,,,
"14 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,22 TL"
,,Visa **17,,,
"13 Apr, 2017",Steam Community Market,3 Market Transactions,"4,41 TL","-4,41 TL","0,22 TL"
,,Wallet,,,
"12 Apr, 2017",Steam Community Market,Market Transaction,"0,02 TL","+0,02 TL","4,63 TL"
,,Wallet,Credit,,
"10 Apr, 2017",Steam Community Market,10 Market Transactions,"3,57 TL","+3,57 TL","4,61 TL"
,,Wallet,Credit,,
"16 Jan, 2017",Steam Community Market,Market Transaction,"1,30 TL","-1,30 TL","1,04 TL"
,,Wallet,,,
"2 Jun, 2016",Steam Community Market,Market Transaction,"2,60 TL","-2,60 TL","2,34 TL"
,,Wallet,,,
"31 May, 2016",Counter-Strike 2,In-Game Purchase,"7,50 TL","-7,50 TL","4,94 TL"
,Falchion Case Key,Wallet,,,
"31 May, 2016",Steam Community Market,Market Transaction,"0,49 TL","+0,49 TL","12,44 TL"
,,Wallet,Credit,,
"25 May, 2016",Steam Community Market,2 Market Transactions,"5,40 TL","+5,40 TL","11,95 TL"
,,Wallet,Credit,,
"12 May, 2016",Counter-Strike 2,In-Game Purchase,"6,95 TL","-6,95 TL","6,55 TL"
,Revolver Case Key,Wallet,,,
"12 May, 2016","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","13,50 TL"
,,Visa **17,,,
"12 May, 2016",Counter-Strike 2,In-Game Purchase,"6,95 TL","-6,95 TL","3,50 TL"
,Falchion Case Key,Wallet,,,
"11 May, 2016","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,45 TL"
,,Visa **17,,,
"8 May, 2016",Steam Community Market,2 Market Transactions,"12,39 TL","-12,39 TL","0,45 TL"
,,Wallet,,,
"8 May, 2016",60 Seconds!,Purchase,"18,00 TL","-18,00 TL","12,84 TL"
,,Wallet,,,
"6 May, 2016","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,84 TL"
,,Visa **17,,,
"6 May, 2016","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,84 TL"
,,Visa **17,,,
"6 May, 2016",Steam Community Market,Market Transaction,"2,23 TL","-2,23 TL","0,84 TL"
,,Wallet,,,
"6 May, 2016",Counter-Strike 2,In-Game Purchase,"6,95 TL","-6,95 TL","3,07 TL"
,Falchion Case Key,Wallet,,,
"6 May, 2016","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,02 TL"
,,Visa **17,,,
"3 May, 2016",Steam Community Market,2 Market Transactions,"10,78 TL","-10,78 TL","0,02 TL"
,,Wallet,,,
"1 May, 2016",Who's Your Daddy,Refund,"10,00 TL","+10,00 TL","10,80 TL"
,Refund,Wallet Credit,,,
"25 Apr, 2016",Steam Community Market,Market Transaction,"0,04 TL","+0,04 TL","0,80 TL"
,,Wallet,Credit,,
"24 Apr, 2016",Steam Community Market,2 Market Transactions,"0,23 TL","+0,23 TL","0,76 TL"
,,Wallet,Credit,,
"15 Apr, 2016",Who's Your Daddy,Purchase,"10,00 TL","-10,00 TL","0,53 TL"
,,Wallet,,,
"15 Apr, 2016","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,53 TL"
,,MasterCard **18,,,
"21 Feb, 2016",Steam Community Market,Market Transaction,"1,99 TL","-1,99 TL","0,53 TL"
,,Wallet,,,
"21 Feb, 2016",Steam Community Market,3 Market Transactions,"2,48 TL","+2,48 TL","2,52 TL"
,,Wallet,Credit,,
"12 Feb, 2016",Steam Community Market,Market Transaction,"0,71 TL","-0,71 TL","0,04 TL"
,,Wallet,,,
"12 Feb, 2016",Steam Community Market,4 Market Transactions,"0,15 TL","+0,15 TL","0,75 TL"
,,Wallet,Credit,,
"6 Feb, 2016",Steam Community Market,3 Market Transactions,"4,57 TL","-4,57 TL","0,60 TL"
,,Wallet,,,
"5 Feb, 2016",Steam Community Market,3 Market Transactions,"8,96 TL","-8,96 TL","5,17 TL"
,,Wallet,,,
"5 Feb, 2016",Geometry Dash,Purchase,"4,00 TL","-4,00 TL","14,13 TL"
,,Wallet,,,
"2 Feb, 2016",Plague Inc: Evolved,Purchase,"24,00 TL","-24,00 TL","18,13 TL"
,,Wallet,,,
"22 Jan, 2016",Steam Community Market,Market Transaction,"3,61 TL","+3,61 TL","42,13 TL"
,,Wallet,Credit,,
"21 Jan, 2016",Steam Community Market,Market Transaction,"3,77 TL","-3,77 TL","38,52 TL"
,,Wallet,,,
"16 Jan, 2016",Garry's Mod,Refund,"4,50 TL","+4,50 TL","42,29 TL"
,Refund,Wallet Credit,,,
"15 Jan, 2016",Steam Community Market,Market Transaction,"0,40 TL","+0,40 TL","37,79 TL"
,,Wallet,Credit,,
"15 Jan, 2016",The Forest,Purchase,"24,00 TL","-24,00 TL","37,39 TL"
,,Wallet,,,
"14 Jan, 2016",Call of Duty: Modern Warfare 2 (ROW),Refund,"24,50 TL","+24,50 TL","61,39 TL"
,Refund,Wallet Credit,,,
"9 Jan, 2016",Chivalry: Medieval Warfare,Refund,"3,90 TL","+3,90 TL","36,89 TL"
,Refund,Wallet Credit,,,
"9 Jan, 2016",ARK: Survival Evolved,Refund,"29,40 TL","+29,40 TL","32,99 TL"
,Refund,Wallet Credit,,,
"3 Jan, 2016",Goat Simulator + GoatZ,Purchase,"6,00 TL","-6,00 TL","3,59 TL"
,,Wallet,,,
"1 Jan, 2016",Ace of Spades: Battle Builder,Purchase,"6,00 TL","-6,00 TL","9,59 TL"
,,Wallet,,,
"30 Dec, 2015",Steam Community Market,Market Transaction,"0,44 TL","+0,44 TL","15,59 TL"
,,Wallet,Credit,,
"30 Dec, 2015",ARK: Survival Evolved,Purchase,"29,40 TL","-29,40 TL","15,15 TL"
,,Wallet,,,
"30 Dec, 2015",Chivalry: Medieval Warfare,Purchase,"3,90 TL","-3,90 TL","44,55 TL"
,,Wallet,,,
"30 Dec, 2015",Steam Community Market,4 Market Transactions,"9,99 TL","+9,99 TL","48,45 TL"
,,Wallet,Credit,,
"29 Dec, 2015",Call of Duty: Modern Warfare 2 (ROW),Purchase,"24,50 TL","-24,50 TL","38,46 TL"
,,Wallet,,,
"29 Dec, 2015",Garry's Mod,Purchase,"4,50 TL","-4,50 TL","62,96 TL"
,,Wallet,,,
"27 Dec, 2015",PAYDAY 2 - Pre-2024-08,Gift Purchase,"7,75 TL","-7,75 TL","67,46 TL"
,Picture,Wallet,,,
,Gift sent to ZeNcy,,,,
"27 Dec, 2015",Steam Community Market,Market Transaction,"0,66 TL","-0,66 TL","75,21 TL"
,,Wallet,,,
"26 Dec, 2015",PAYDAY 2 - Pre-2024-08,Gift Purchase,"7,75 TL","-7,75 TL","75,87 TL"
,Picture,Wallet,,,
,Gift sent to anam babam icin,,,,
"25 Dec, 2015",Steam Community Market,41 Market Transactions,"62,32 TL","+62,32 TL","83,62 TL"
,,Wallet,Credit,,
"25 Dec, 2015",PAYDAY 2 - Pre-2024-08,Purchase,"7,75 TL","-7,75 TL","21,30 TL"
,,Wallet,,,
"25 Dec, 2015",Steam Community Market,Market Transaction,"29,05 TL","+29,05 TL","29,05 TL"
,,Wallet,Credit,,
"22 Nov, 2015",Steam Community Market,Market Transaction,"0,61 TL","-0,61 TL","0,00 TL"
,,Wallet,,,
"20 Nov, 2015",Steam Community Market,2 Market Transactions,"5,14 TL","-5,14 TL","0,61 TL"
,,Wallet,,,
"20 Nov, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","5,75 TL"
,Shadow Case Key,Wallet,,,
"20 Nov, 2015",Steam Community Market,2 Market Transactions,"4,60 TL","-4,60 TL","13,05 TL"
,,Wallet,,,
"19 Nov, 2015",Steam Community Market,2 Market Transactions,"17,53 TL","+17,53 TL","17,65 TL"
,,Wallet,Credit,,
"19 Nov, 2015",Steam Community Market,Market Transaction,"2,60 TL","-2,60 TL","0,12 TL"
,,Wallet,,,
"19 Nov, 2015",Counter-Strike 2,In-Game Purchase,"14,60 TL","-14,60 TL","2,72 TL"
,2 Shadow Case Key,Wallet,,,
"19 Nov, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","17,32 TL"
,Shadow Case Key,Wallet,,,
"19 Nov, 2015",Steam Community Market,Market Transaction,"23,81 TL","-23,81 TL","24,62 TL"
,,Wallet,,,
"19 Nov, 2015",Steam Community Market,Market Transaction,"18,09 TL","+18,09 TL","48,43 TL"
,,Wallet,Credit,,
"17 Nov, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,34 TL"
,,Visa **17,,,
"17 Nov, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,34 TL"
,,Visa **17,,,
"14 Nov, 2015",Steam Community Market,2 Market Transactions,"3,38 TL","-3,38 TL","0,34 TL"
,,Wallet,,,
"8 Nov, 2015",Steam Community Market,4 Market Transactions,"2,84 TL","-2,84 TL","3,72 TL"
,,Wallet,,,
"7 Nov, 2015",Counter-Strike 2,In-Game Purchase,"5,85 TL","-5,85 TL","6,56 TL"
,Name Tag,Wallet,,,
"7 Nov, 2015",Counter-Strike 2,In-Game Purchase,"5,85 TL","-5,85 TL","12,41 TL"
,Name Tag,Wallet,,,
"7 Nov, 2015",Steam Community Market,Market Transaction,"40,75 TL","-40,75 TL","18,26 TL"
,,Wallet,,,
"7 Nov, 2015",Steam Community Market,Market Transaction,"25,06 TL","+25,06 TL","59,01 TL"
,,Wallet,Credit,,
"7 Nov, 2015",Steam Community Market,Market Transaction,"24,35 TL","-24,35 TL","33,95 TL"
,,Wallet,,,
"7 Nov, 2015","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","58,30 TL"
,,MasterCard **18,,,
"7 Nov, 2015",Steam Community Market,Market Transaction,"0,19 TL","+0,19 TL","8,30 TL"
,,Wallet,Credit,,
"7 Nov, 2015",Steam Community Market,Market Transaction,"5,32 TL","-5,32 TL","8,11 TL"
,,Wallet,,,
"6 Nov, 2015",Steam Community Market,2 Market Transactions,"0,27 TL","+0,27 TL","13,43 TL"
,,Wallet,Credit,,
"6 Nov, 2015",Steam Community Market,Market Transaction,"42,39 TL","-42,39 TL","13,16 TL"
,,Wallet,,,
"6 Nov, 2015",Steam Community Market,8 Market Transactions,"11,16 TL","+11,16 TL","55,55 TL"
,,Wallet,Credit,,
"2 Nov, 2015",Steam Community Market,Market Transaction,"5,40 TL","+5,40 TL","44,39 TL"
,,Wallet,Credit,,
"2 Nov, 2015",Steam Community Market,Market Transaction,"0,89 TL","-0,89 TL","38,99 TL"
,,Wallet,,,
"31 Oct, 2015",Steam Community Market,Market Transaction,"0,19 TL","+0,19 TL","39,88 TL"
,,Wallet,Credit,,
"30 Oct, 2015",Steam Community Market,Market Transaction,"7,32 TL","-7,32 TL","39,69 TL"
,,Wallet,,,
"30 Oct, 2015",Steam Community Market,2 Market Transactions,"5,61 TL","+5,61 TL","47,01 TL"
,,Wallet,Credit,,
"23 Oct, 2015",Steam Community Market,8 Market Transactions,"5,25 TL","-5,25 TL","41,40 TL"
,,Wallet,,,
"23 Oct, 2015",Steam Community Market,5 Market Transactions,"10,27 TL","+10,27 TL","46,65 TL"
,,Wallet,Credit,,
"23 Oct, 2015",Steam Community Market,Market Transaction,"3,50 TL","-3,50 TL","36,38 TL"
,,Wallet,,,
"21 Oct, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","39,88 TL"
,Falchion Case Key,Wallet,,,
"16 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","47,18 TL"
,,MasterCard **18,,,
"16 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","27,18 TL"
,,MasterCard **18,,,
"16 Oct, 2015",Steam Community Market,Market Transaction,"1,21 TL","+1,21 TL","7,18 TL"
,,Wallet,Credit,,
"16 Oct, 2015",Counter-Strike 2,In-Game Purchase,"29,20 TL","-29,20 TL","5,97 TL"
,4 Falchion Case Key,Wallet,,,
"16 Oct, 2015",Steam Community Market,Market Transaction,"1,19 TL","+1,19 TL","35,17 TL"
,,Wallet,Credit,,
"16 Oct, 2015",Steam Community Market,Market Transaction,"8,00 TL","-8,00 TL","33,98 TL"
,,Wallet,,,
"9 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","41,98 TL"
,,MasterCard **18,,,
"9 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","21,98 TL"
,,MasterCard **18,,,
"9 Oct, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","1,98 TL"
,Operation Breakout Case Key,Wallet,,,
"9 Oct, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","9,28 TL"
,Falchion Case Key,Wallet,,,
"9 Oct, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","16,58 TL"
,Shadow Case Key,Wallet,,,
"9 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","23,88 TL"
,,MasterCard **18,,,
"9 Oct, 2015",Counter-Strike 2,In-Game Purchase,"21,90 TL","-21,90 TL","3,88 TL"
,3 Falchion Case Key,Wallet,,,
"9 Oct, 2015",Counter-Strike 2,In-Game Purchase,"14,60 TL","-14,60 TL","25,78 TL"
,2 Shadow Case Key,Wallet,,,
"7 Oct, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","40,38 TL"
,,MasterCard **18,,,
"6 Oct, 2015",Steam Community Market,Market Transaction,"0,10 TL","+0,10 TL","30,38 TL"
,,Wallet,Credit,,
"4 Oct, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,28 TL"
,,MasterCard **18,,,
"4 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,28 TL"
,,MasterCard **18,,,
"4 Oct, 2015",Steam Community Market,Market Transaction,"31,33 TL","-31,33 TL","0,28 TL"
,,Wallet,,,
"3 Oct, 2015",Steam Community Market,2 Market Transactions,"0,76 TL","+0,76 TL","31,61 TL"
,,Wallet,Credit,,
"3 Oct, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,85 TL"
,,MasterCard **18,,,
"3 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,85 TL"
,,MasterCard **18,,,
"3 Oct, 2015",Steam Community Market,Market Transaction,"0,03 TL","+0,03 TL","0,85 TL"
,,Wallet,Credit,,
"2 Oct, 2015",Steam Community Market,6 Market Transactions,"3,93 TL","-3,93 TL","0,82 TL"
,,Wallet,,,
"2 Oct, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","4,75 TL"
,Shadow Case Key,Wallet,,,
"2 Oct, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","12,05 TL"
,,MasterCard **18,,,
"2 Oct, 2015",Steam Community Market,Market Transaction,"3,47 TL","-3,47 TL","2,05 TL"
,,Wallet,,,
"2 Oct, 2015",Counter-Strike 2,In-Game Purchase,"14,60 TL","-14,60 TL","5,52 TL"
,2 Shadow Case Key,Wallet,,,
"1 Oct, 2015",Steam Community Market,Market Transaction,"0,02 TL","+0,02 TL","20,12 TL"
,,Wallet,Credit,,
"1 Oct, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,10 TL"
,,MasterCard **18,,,
"27 Sep, 2015",Steam Community Market,2 Market Transactions,"0,23 TL","-0,23 TL","0,10 TL"
,,Wallet,,,
"27 Sep, 2015",Steam Community Market,2 Market Transactions,"0,31 TL","+0,31 TL","0,33 TL"
,,Wallet,Credit,,
"27 Sep, 2015",Steam Community Market,2 Market Transactions,"5,41 TL","-5,41 TL","0,02 TL"
,,Wallet,,,
"26 Sep, 2015",Steam Community Market,Market Transaction,"3,92 TL","+3,92 TL","5,43 TL"
,,Wallet,Credit,,
"26 Sep, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","1,51 TL"
,Chroma 2 Case Key,Wallet,,,
"26 Sep, 2015",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","8,81 TL"
,Chroma 2 Case Key,Wallet,,,
"26 Sep, 2015",Steam Community Market,Market Transaction,"16,00 TL","+16,00 TL","16,11 TL"
,,Wallet,Credit,,
"25 Sep, 2015",Steam Community Market,2 Market Transactions,"0,37 TL","-0,37 TL","0,11 TL"
,,Wallet,,,
"25 Sep, 2015",Steam Community Market,Market Transaction,"0,10 TL","+0,10 TL","0,48 TL"
,,Wallet,Credit,,
"24 Sep, 2015",Steam Community Market,3 Market Transactions,"0,25 TL","-0,25 TL","0,38 TL"
,,Wallet,,,
"23 Sep, 2015",Steam Community Market,2 Market Transactions,"0,17 TL","+0,17 TL","0,63 TL"
,,Wallet,Credit,,
"21 Sep, 2015",Steam Community Market,2 Market Transactions,"0,22 TL","-0,22 TL","0,46 TL"
,,Wallet,,,
"20 Sep, 2015",Steam Community Market,3 Market Transactions,"0,39 TL","+0,39 TL","0,68 TL"
,,Wallet,Credit,,
"19 Sep, 2015",Steam Community Market,2 Market Transactions,"0,86 TL","-0,86 TL","0,29 TL"
,,Wallet,,,
"19 Sep, 2015",Steam Community Market,3 Market Transactions,"0,23 TL","+0,23 TL","1,15 TL"
,,Wallet,Credit,,
"18 Sep, 2015",Steam Community Market,Market Transaction,"1,09 TL","-1,09 TL","0,92 TL"
,,Wallet,,,
"18 Sep, 2015",Steam Community Market,Market Transaction,"0,71 TL","+0,71 TL","2,01 TL"
,,Wallet,Credit,,
"18 Sep, 2015",Steam Community Market,2 Market Transactions,"8,87 TL","-8,87 TL","1,30 TL"
,,Wallet,,,
"18 Sep, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,17 TL"
,,MasterCard **18,,,
"16 Sep, 2015",Steam Community Market,2 Market Transactions,"0,08 TL","+0,08 TL","0,17 TL"
,,Wallet,Credit,,
"16 Sep, 2015",Steam Community Market,Market Transaction,"0,57 TL","-0,57 TL","0,09 TL"
,,Wallet,,,
"16 Sep, 2015",Steam Community Market,Market Transaction,"0,06 TL","+0,06 TL","0,66 TL"
,,Wallet,Credit,,
"13 Sep, 2015",Steam Community Market,Market Transaction,"19,57 TL","-19,57 TL","0,60 TL"
,,Wallet,,,
"13 Sep, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,17 TL"
,,MasterCard **18,,,
"9 Sep, 2015",Steam Community Market,Market Transaction,"0,23 TL","-0,23 TL","0,17 TL"
,,Wallet,,,
"8 Sep, 2015",Steam Community Market,Market Transaction,"0,02 TL","+0,02 TL","0,40 TL"
,,Wallet,Credit,,
"6 Sep, 2015",Steam Community Market,2 Market Transactions,"0,38 TL","+0,38 TL","0,38 TL"
,,Wallet,Credit,,
"6 Sep, 2015",Steam Community Market,Market Transaction,"0,72 TL","-0,72 TL","0,00 TL"
,,Wallet,,,
"5 Sep, 2015",Steam Community Market,Market Transaction,"0,62 TL","+0,62 TL","0,72 TL"
,,Wallet,Credit,,
"4 Sep, 2015",Steam Community Market,3 Market Transactions,"0,09 TL","+0,09 TL","0,10 TL"
,,Wallet,Credit,,
"2 Sep, 2015",Steam Community Market,3 Market Transactions,"0,32 TL","-0,32 TL","0,01 TL"
,,Wallet,,,
"2 Sep, 2015",Steam Community Market,Market Transaction,"0,07 TL","+0,07 TL","0,33 TL"
,,Wallet,Credit,,
"2 Sep, 2015",Steam Community Market,2 Market Transactions,"0,16 TL","-0,16 TL","0,26 TL"
,,Wallet,,,
"2 Sep, 2015",Steam Community Market,Market Transaction,"0,40 TL","+0,40 TL","0,42 TL"
,,Wallet,Credit,,
"2 Sep, 2015",Steam Community Market,8 Market Transactions,"1,04 TL","-1,04 TL","0,02 TL"
,,Wallet,,,
"2 Sep, 2015",Steam Community Market,Market Transaction,"0,65 TL","+0,65 TL","1,06 TL"
,,Wallet,Credit,,
"2 Sep, 2015",Steam Community Market,6 Market Transactions,"29,62 TL","-29,62 TL","0,41 TL"
,,Wallet,,,
"1 Sep, 2015",Steam Community Market,Market Transaction,"0,03 TL","+0,03 TL","30,03 TL"
,,Wallet,Credit,,
"28 Aug, 2015","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,00 TL"
,,MasterCard **18,,,
"28 Aug, 2015","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,00 TL"
,,MasterCard **18,,,
"26 Aug, 2015",Steam Community Market,4 Market Transactions,"1,62 TL","-1,62 TL","0,00 TL"
,,Wallet,,,
"26 Aug, 2015",Steam Community Market,3 Market Transactions,"1,62 TL","+1,62 TL","1,62 TL"
,,Wallet,Credit,,
"5 Jul, 201",,,,,
